numMC,PL,PL_local, maxloss,,,
0,-7.76E-05,1.49E-02,-0.000458206,,,
1,-8.62E-05,0.014742013,-0.000230633,,,
2,0.00384943,0.02218738,-0.000238971,,,
3,0.000798945,0.015261146,-0.00191825,,,
4,-0.000459109,0.01259147,-0.000650549,,,
5,-0.000241989,0.01447155,-0.000322914,,,
6,-0.00867547,0.0009166,-0.00900801,,,
7,0.00087289,0.015691005,-0.000161936,,,
8,-0.000718408,0.01255907,-0.000718408,,,
9,-0.0014333,0.01387808,-0.00158285,,,
10,-0.000716531,0.01331241,-0.00093605,,,
11,0.000440095,0.01543253,-0.00034302,,,
12,0.000348455,0.015314791,-0.000174291,,,
13,-0.000603444,0.014168971,-0.000746724,,,
14,0.00573737,0.01737528,-0.00209975,,,
15,-0.0132114,-0.0011546,-0.0132114,,,
16,0.0124583,-0.000356,-6.20E-05,,,
17,-0.00127646,0.01641112,-0.00499524,,,
18,0.00486425,0.01772796,-0.00351955,,,
19,-0.000950967,0.01303545,-0.00132737,,,
20,0.00628689,0.0167149,-0.000639606,,,
21,-0.000372681,0.015874415,-0.00058674,,,
22,-0.00956776,0.015463218,-0.00956776,,,
23,-0.00533161,0.0166068,-0.0123343,,,
24,-0.0114922,0.014634468,-0.0114922,,,
25,0.000137169,0.0047165,-0.000507878,,,
26,-0.000757216,0.014620231,-0.00108527,,,
27,-0.001269,0.01336874,-0.00213416,,,
28,-0.0255736,0.0109956,-0.0255736,,,
29,-0.000797309,0.00604835,-0.00103309,,,
30,0.000990574,0.0134889,-3.38E-05,,,
31,0.000931608,0.01766824,-0.00070042,,,
32,-0.000969878,1.50E-02,-0.0011721,,,
33,0.0026506,0.01362318,-0.00158128,,,
34,0.0070072,0.0024813,-0.00155873,,,
35,0.00339743,0.01774072,-0.00185417,,,
36,-0.000890129,0.0278382,-0.00802273,,,
37,-0.00248985,-0.0070858,-0.002539,,,
38,9.61E-05,0.014393381,-0.000618506,,,
39,0.00058909,0.015129575,-0.00309363,,,
40,-0.0113743,0.01048942,-0.0116996,,,
41,0.00176487,0.014479267,-0.000827381,,,
42,-0.0158236,0.0180954,-0.0158236,,,
43,0.00231376,0.0011126,-0.000797657,,,
44,0.00119808,0.026243,0,,,
45,0.00268665,0.01242527,-0.000110365,,,
46,0.000630244,0.01320392,-0.0011546,,,
47,-0.000654675,0.01612864,-0.00128747,,,
48,0.0086314,0.01023548,-0.00199018,,,
49,0.00138562,0.01857538,-4.25E-05,,,
50,-0.00724153,0.01576055,-0.00985436,,,
51,-0.000915192,0.01780568,-0.00172592,,,
52,0.00144096,0.01624606,-0.00132888,,,
53,-0.000515001,0.01349125,-0.0122445,,,
54,-0.000955117,0.01405099,-0.00324672,,,
55,1.41E-05,0.01773092,-0.00052638,,,
56,3.90E-05,0.01791156,-0.000283816,,,
57,0.000120036,0.00585122,-0.000497846,,,
58,-0.000719182,0.01272701,-0.00128393,,,
59,0.00258704,0.0161708,-0.00239364,,,
60,0.000865168,0.01724272,-0.00070987,,,
61,-0.000364737,0.01732046,-0.0006711,,,
62,0.00758946,0.01606789,-0.00292173,,,
63,0.000327955,0.01649394,-0.000165752,,,
64,-0.000963307,0.015361182,-0.0016303,,,
65,0.00205097,0.01300958,-0.00210032,,,
66,-0.00183458,0.01176395,-0.00418493,,,
67,0.00022321,0.01680257,-0.000340639,,,
68,-0.000742701,0.01349699,-0.00113712,,,
69,-0.00137999,0.02374831,-0.00137999,,,
70,-0.00194421,0.01317752,-0.00252387,,,
71,0.00201572,0.01850013,-0.000541595,,,
72,-0.000905492,0.01242018,-0.00237879,,,
73,0.000452597,0.014326463,0,,,
74,0.00559463,0.01030807,-0.000760976,,,
75,-0.00266791,0.014819329,-0.00266791,,,
76,-0.00347088,0.01183644,-0.00378376,,,
77,-0.00160256,1.51E-02,-0.00224024,,,
78,-0.00202869,-0.0022208,-0.00485752,,,
79,0.00468175,0.01700878,-0.0016702,,,
80,-0.00269913,0.01600562,-0.00269913,,,
81,0.000409605,0.01354758,-0.000786615,,,
82,1.81E-05,0.015975885,-0.000153893,,,
83,0.0171811,0.01922042,-0.000487516,,,
84,-0.0129378,0.01016806,-0.0164267,,,
85,-0.000266186,0.00548131,-0.0030606,,,
86,-0.000425827,0.01287135,-0.00073627,,,
87,-0.000220499,0.00886166,-0.00055522,,,
88,-0.00105475,0.01872315,-0.00126836,,,
89,-1.78E-05,0.01664769,-0.000988553,,,
90,-0.000935999,0.01690655,-0.000935999,,,
91,0.000332577,0.014371526,0,,,
92,0.00189159,0.0497281,-0.000392514,,,
93,0.00107188,0.02073985,-0.000169939,,,
94,-0.00120327,0.01376783,-0.00122434,,,
95,-0.000255962,0.01369242,-0.000318382,,,
96,0.00178814,0.01380039,-0.000292251,,,
97,-0.00270628,0.01284321,-0.00270628,,,
98,-0.001709,0.014847317,-0.00171486,,,
99,0.000195058,0.01471673,-0.000111731,,,
100,0.00163461,0.0351479,-0.000419098,,,
101,0.000576664,1.49E-02,-9.87E-05,,,
102,-0.00576687,0.01735965,-0.00786345,,,
103,-0.00094947,0.01693091,-0.00100941,,,
104,0.000312411,0.01178261,-0.000482855,,,
105,-0.0010656,0.0157198,-0.0012286,,,
106,0.00101031,1.51E-02,-0.00186745,,,
107,-0.000107606,0.00917162,-0.000768827,,,
108,0.00741534,0.01293473,-0.00446287,,,
109,6.72E-05,0.0160809,-0.000843803,,,
110,-0.00343519,0.01652227,-0.00465867,,,
111,-0.00377388,0.004372,-0.00406758,,,
112,-0.00136675,0.014006069,-0.00715571,,,
113,0.00240895,0.01075827,-0.00295997,,,
114,-0.000422641,0.00726489,-0.000812233,,,
115,0.000992571,0.01673923,-4.00E-05,,,
116,0.000456163,0.014874529,-0.000122038,,,
117,0.000598525,0.0259875,-0.000844111,,,
118,-0.000812099,0.01631085,-0.000812553,,,
119,-0.0068611,0.01398601,-0.00781589,,,
120,-0.00212926,0.01071037,-0.00309911,,,
121,-0.00840984,0.0082079,-0.00915652,,,
122,0.00196601,0.01063388,-0.00137055,,,
123,-0.000172195,0.015889198,-0.0014277,,,
124,-0.0317475,0.015941744,-0.0317475,,,
125,0.0148011,0.0155094,-0.00350758,,,
126,-0.000289976,0.01390403,-0.00043414,,,
127,0.000782405,0.00791336,-0.000132195,,,
128,0.0136472,0.01303671,-0.0023091,,,
129,0.00976323,0.014652874,-0.00403185,,,
130,0.0253089,0.014152277,-0.000716708,,,
131,-0.00132309,0.0175094,-0.00413416,,,
