numMC,PL,callday, maxloss,,-0.11%,0.864%
0,-6.18E-05,183,-0.00101205,,,
1,-0.000257987,183,-0.000527048,,,
2,0.00718738,367,-0.000522605,,,
3,0.000261146,183,-0.00396339,,,
4,-0.00240853,183,-0.00275693,,,
5,-0.00052845,183,-0.000782323,,,
6,-0.0140834,367,-0.0150455,,,
7,0.000691005,183,-0.000595021,,,
8,-0.00244093,183,-0.00244093,,,
9,-0.00112192,183,-0.00250639,,,
10,-0.00168759,183,-0.0017047,,,
11,0.00043253,183,-0.000813144,,,
12,0.000314791,183,-0.000383964,,,
13,-0.000831029,183,-0.0012062,,,
14,0.00237528,548,-0.00449434,,,
15,-0.0161546,1097,-0.0161546,,,
16,-0.015356,1097,-0.0173008,,,
17,0.00141112,367,-0.00523055,,,
18,0.00272796,1097,-0.00322138,,,
19,-0.00196455,183,-0.00330397,,,
20,0.0017149,183,-0.00126977,,,
21,0.000874415,183,-0.000357391,,,
22,0.000463218,183,-0.000478088,,,
23,0.0016068,1097,-0.000733693,,,
24,-0.000365532,1097,-0.0119843,,,
25,-0.0102835,913,-0.0123396,,,
26,-0.000379769,183,-0.000910767,,,
27,-0.00163126,183,-0.00241446,,,
28,-0.0040044,183,-0.00499652,,,
29,-0.00895165,1097,-0.0106265,,,
30,-0.0015111,183,-0.00203665,,,
31,0.00266824,548,-0.000268465,,,
32,-4.91E-05,183,-0.00187267,,,
33,-0.00137682,183,-0.00242602,,,
34,-0.0125187,183,-0.0125187,,,
35,0.00274072,183,-0.000281693,,,
36,0.0128382,913,-0.00509223,,,
37,-0.0220858,1097,-0.0236554,,,
38,-0.000606619,183,-0.00245615,,,
39,0.000129575,367,-0.00252418,,,
40,-0.00451058,1097,-0.0119994,,,
41,-0.000520733,183,-0.00101591,,,
42,0.0030954,183,-0.000117255,,,
43,-0.0138874,183,-0.0138874,,,
44,0.011243,548,-0.00592785,,,
45,-0.00257473,183,-0.00327927,,,
46,-0.00179608,183,-0.00187669,,,
47,0.00112864,183,-0.00244412,,,
48,-0.00476452,1097,-0.00485774,,,
49,0.00357538,183,-0.0015761,,,
50,0.00076055,183,-0.000235245,,,
51,0.00280568,183,-0.000950345,,,
52,0.00124606,183,-0.00192981,,,
53,-0.00150875,183,-0.00333001,,,
54,-0.00094901,367,-0.00368492,,,
55,0.00273092,548,-0.00158203,,,
56,0.00291156,183,-0.000241191,,,
57,-0.00914878,1097,-0.0458744,,,
58,-0.00227299,183,-0.00392325,,,
59,0.0011708,183,-0.00382331,,,
60,0.00224272,1097,-0.0037379,,,
61,0.00232046,913,-0.00213995,,,
62,0.00106789,183,-0.000269701,,,
63,0.00149394,183,-2.03E-05,,,
64,0.000361182,183,-0.00134771,,,
65,-0.00199042,183,-0.00310682,,,
66,-0.00323605,183,-0.00367325,,,
67,0.00180257,183,-9.99E-05,,,
68,-0.00150301,183,-0.001616,,,
69,0.00874831,548,-0.00441958,,,
70,-0.00182248,183,-0.00255115,,,
71,0.00350013,183,-0.00242753,,,
72,-0.00257982,183,-0.00443819,,,
73,-0.000673537,367,-0.00658083,,,
74,-0.00469193,913,-0.00805786,,,
75,-0.000180671,183,-0.00169921,,,
76,-0.00316356,183,-0.00426812,,,
77,8.68E-05,183,-0.00111123,,,
78,-0.0172208,1097,-0.0172208,,,
79,0.00200878,183,-0.00162065,,,
80,0.00100562,183,-0.00143419,,,
81,-0.00145242,367,-0.00316361,,,
82,0.000975885,183,-0.000325568,,,
83,0.00422042,1097,-0.00316517,,,
84,-0.00483194,183,-0.00483397,,,
85,-0.00951869,367,-0.00951869,,,
86,-0.00212865,183,-0.00314957,,,
87,-0.00613834,367,-0.00740921,,,
88,0.00372315,367,-0.00258805,,,
89,0.00164769,183,-0.00215259,,,
90,0.00190655,183,-0.000257093,,,
91,-0.000628474,183,-0.000842598,,,
92,0.0347281,1097,-0.000266696,,,
93,0.00573985,1097,-0.00634832,,,
94,-0.00123217,548,-0.00517878,,,
95,-0.00130758,183,-0.00177525,,,
96,-0.00119961,183,-0.00206662,,,
97,-0.00215679,183,-0.00234588,,,
98,-0.000152683,183,-0.00221471,,,
99,-0.00028327,183,-0.00105456,,,
100,0.0201479,183,-0.00172786,,,
101,-7.84E-05,183,-0.000774763,,,
102,0.00235965,183,-0.00144076,,,
103,0.00193091,183,-0.000581977,,,
104,-0.00321739,183,-0.00324556,,,
105,0.0007198,183,-0.000231252,,,
106,5.98E-05,183,-0.00114059,,,
107,-0.00582838,183,-0.00582838,,,
108,-0.00206527,183,-0.00206587,,,
109,0.0010809,183,-8.94E-05,,,
110,0.00152227,732,-0.00138429,,,
111,-0.010628,913,-0.0111102,,,
112,-0.000993931,183,-0.00197228,,,
113,-0.00424173,183,-0.00468734,,,
114,-0.00773511,183,-0.00773511,,,
115,0.00173923,183,-0.00014411,,,
116,-0.000125471,183,-0.000632622,,,
