numMC,PL,PL_flat,callday,maxloss,maxloss flat
0,0.0164,0.0164,183,0.0154,0
1,0.0162,0.0162,183,0.0159,0
2,0.0238,0.0238,367,0.0159,-0.0262
3,0.0167,0.0167,183,0.0124,-0.0032
4,0.0141,0.0141,183,0.0137,-0.0031
5,0.016,0.016,183,0.0156,0
6,0.0025,0.0025,367,0.0015,-0.0318
7,0.0172,0.0172,183,0.0158,-0.0169
8,0.014,0.014,183,0.014,-0.0051
9,0.0154,0.0154,183,0.0139,-0.0242
10,0.0148,0.0148,183,0.0148,-0.0088
11,0.0169,0.0169,183,0.0156,0
12,0.0168,0.0168,183,0.016,0
13,0.0157,0.0157,183,0.0152,-0.0035
14,0.0191,0.0191,548,0.0121,-0.0482
15,0.0009,0.0009,1097,0.0007,-0.0483
16,0.0017,0.0017,1097,-0.0004,-0.0483
17,0.018,0.018,367,0.0113,-0.0309
18,0.0198,0.0198,1097,0.0135,-0.0444
19,0.0145,0.0145,183,0.0131,-0.0152
20,0.0182,0.0182,183,0.0151,-0.0404
21,0.0174,0.0174,183,0.016,-0.0023
22,0.0169,0.0169,183,0.0159,-0.0008
23,0.0186,0.0186,1097,0.0157,-0.0473
24,0.0167,0.0167,1097,0.0049,-0.0524
25,0.0066,0.0066,913,0.0045,-0.0453
26,0.0161,0.0161,183,0.0155,-0.0382
27,0.0149,0.0149,183,0.0141,-0.0077
28,0.0125,0.0125,183,0.0115,-0.0191
29,0.0081,0.0081,1097,0.0061,-0.0528
30,0.015,0.015,183,0.0144,0
31,0.0194,0.0194,548,0.0161,-0.0235
32,0.0164,0.0164,183,0.0145,-0.0142
33,0.0151,0.0151,183,0.014,-0.0077
34,0.004,0.004,183,0.004,-0.0113
35,0.0192,0.0192,183,0.0161,-0.0051
36,0.0298,0.0298,913,0.0114,-0.0455
37,-0.0051,-0.0051,1097,-0.0067,-0.0573
38,0.0159,0.0159,183,0.014,-0.0046
39,0.0167,0.0167,367,0.014,-0.0363
40,0.0125,0.0125,1097,0.005,-0.0438
41,0.016,0.016,183,0.0154,0
42,0.0196,0.0196,183,0.0163,-0.0214
43,0.0026,0.0026,183,0.0026,-0.0173
44,0.0279,0.0279,548,0.0106,-0.048
45,0.0139,0.0139,183,0.0132,-0.0034
46,0.0147,0.0147,183,0.0146,-0.0077
47,0.0176,0.0176,183,0.014,-0.0359
48,0.0123,0.0123,1097,0.0119,-0.0482
49,0.0201,0.0201,183,0.0148,-0.0132
50,0.0172,0.0172,183,0.0161,-0.0316
51,0.0193,0.0193,183,0.0154,-0.0059
52,0.0177,0.0177,183,0.0145,0
